BIRC3	IKBKE
BIRC3	IRF1
BIRC3	KRR1
BIRC3	MALT1
BIRC3	RIPK2
BIRC3	RIPK3
BIRC3	TANK
BIRC3	TRAF2
BIRC3	TRAF6
BIRC2	BIRC2
BIRC2	CASP3
BIRC2	CASP7
BIRC2	CASP8
BIRC2	CSE1L
BIRC2	IKBKE
BIRC2	IKBKG
BIRC2	MAD1L1
BIRC2	MAP3K5
BIRC2	MXD1
BIRC2	RAC1
BIRC2	RIPK2
BIRC2	RIPK3
BIRC2	TANK
BIRC2	TRAF2
BIRC2	TRAF6
CBL	ARHGEF7
CBL	CD5
CBL	CRKL
CBL	CSF1R
CBL	CTNNB1
CBL	EGFR
CBL	FCGR2A
CBL	FGR
CBL	FLT1
CBL	FYN
CBL	HGS
CBL	IL2RG
CBL	IRF8
CBL	ITGA5
CBL	KDR
CBL	LCK
CBL	LYN
CBL	MET
CBL	NFATC1
CBL	NGFR
CBL	NLRP3
CBL	PDGFA
CBL	PDGFRB
CBL	PIK3CG
CBL	SH3KBP1
CBL	STAP2
CBL	VAV1
CBL	ZAP70
MID1	IGBP1
MID1	IRF3
MID1	UBE2D1
GAN	ATG16L1
GAN	GFAP
GAN	MAP1B
GAN	MAP1S
GAN	TBCB
MALT1	IKBKG
SPOP	BMI1
SPOP	BRMS1
SPOP	CAPRIN1
SPOP	CCNE1
SPOP	CD274
SPOP	CDC20
SPOP	DAXX
SPOP	DEK
SPOP	DUSP7
SPOP	ERG
SPOP	FADD
SPOP	INF2
SPOP	NCOA3
SQSTM1	LDHA
MYLIP	MYLIP
MYLIP	VLDLR
HECTD2	PIAS1
CHFR	AURKA
CHFR	CHD1L
CHFR	CHFR
CHFR	KIF22
CHFR	PARP1
CHFR	PBK
CHFR	PLK1
NHLRC1	PPP1R3C
KCTD13	RHOA
KLHL6	CDK2
KLHL6	RC3H2
FBXL5	DCTN1
FBXL5	NABP2
FBXL7	AURKA
FBXL7	BIRC5
FBXL6	TP53
CCNF	CCP110
CCNF	CDC6
CCNF	RRM2
RNF6	LIMK1
RNF6	LIMS1
RNF6	MXD1
RNF4	ATXN1
RNF4	CENPI
RNF4	DAND5
RNF4	EPAS1
RNF4	PARP1
RNF4	PML
RNF4	RNF4
RNF4	SP1
RNF4	SUMO2
RNF2	RNF2
RNF2	RRM1
TRIM31	NLRP3
TRIM31	TIGAR
TRIM31	TRIM31
TRIM36	IRF3
RSAD2	IRAK1
RNF220	RNF220
RNF40	PA2G4
MPG	IGBP1
MPG	PTPA
MPG	UBE2D1
TNFAIP3	TNFAIP3
CDC20	BUB1B
CDC20	CCNA2
CDC20	CCNB1
CDC20	CDKN1A
CDC20	CDKN1B
CDC20	CENPF
CDC20	MCL1
CDC20	NEK2
CDC20	PTTG1
CDC20	RASSF1
CDC20	RUNX1
CDC20	SP100
HECW2	LMNB1
HECW2	PCNA
HECW2	TP73
RNF128	ARHGDIB
RNF128	ARPC5
RNF128	CD40LG
RNF128	CD44
RNF128	CORO1A
RNF128	TP53
RNF126	CDKN1A
RNF126	CXCR4
RNF126	EGFR
RNF126	MET
RNF126	TP53
RNF125	DDX58
RNF125	IFIH1
RNF125	JAK1
RNF125	NLRP3
RNF125	RNF125
RNF125	TP53
DTX3L	DTX3L
DTX3L	HIST1H2BJ
CDC34	CDKN1B
CDC34	CTNNB1
CDC34	MYBL2
CDC34	NFKBIA
STAMBP	NLRP3
TRIM38	TRAF6
TRIM38	TRIM38
SIAH1	CTNNB1
SIAH1	EGLN1
SIAH1	EGLN2
SIAH1	EGLN3
SIAH1	ELL2
SIAH1	IFI27
SIAH1	KIF22
SIAH1	MYB
SIAH1	PKD1
SIAH1	PML
SIAH1	S100A10
SIAH1	TNK2
SIAH1	TRIB3
SIAH1	ZEB1
SIAH2	CDKN1B
SIAH2	CHEK2
SIAH2	DYRK2
SIAH2	EGLN1
SIAH2	EGLN2
SIAH2	EGLN3
SIAH2	HDAC3
SIAH2	KIF15
SIAH2	PIAS1
SIAH2	PML
SIAH2	PPP1R12A
SIAH2	PSMD4
SIAH2	SH3KBP1
SIAH2	TANK
SIAH2	TINF2
SIAH2	TP53
SIAH2	TRAF2
SIAH2	ZEB1
DDB2	DDB2
DDB2	DTL
RNF144B	BAX
RNF144B	CDKN1A
RNF144B	NPM1
DCAF15	BRD7
DCAF15	BRD9
DCAF15	RBM39
ZC3HC1	CCNB1
TRAF2	BIRC3
TRAF2	DUSP14
TRAF2	IKBKE
TRAF2	KRR1
TRAF2	MAPK11
TRAF2	TICAM1
TRAF2	TRAF2
TRAF2	ZBTB17
TRAF6	AKT1
TRAF6	CTNNB1
TRAF6	HK2
TRAF6	IKBKG
TRAF6	IRAK1
TRAF6	IRF5
TRAF6	IRF7
TRAF6	ITGB3BP
TRAF6	LAT
TRAF6	LGALS3BP
TRAF6	MALT1
TRAF6	MAP3K11
TRAF6	NGFR
TRAF6	PIK3CA
TRAF6	RIPK2
TRAF6	STAT6
TRAF6	TICAM1
TRAF6	TRAF6
BRAP	BRAP
BRAP	USP15
RNF168	RNF168
