Patient_ID	C3L-00081	C3L-00415	C3L-00445	C3L-00503	C3L-00568	C3L-00603	C3L-00904	C3L-00923	C3L-00927	C3L-00965	C3L-00993	C3L-01000	C3L-01285	C3L-01455	C3L-01606	C3L-01663	C3L-01838	C3L-01884	C3L-02127	C3L-02130	C3L-02163	C3L-02164	C3L-02168	C3L-02170	C3L-02349	C3L-02358	C3L-02546	C3L-02552	C3L-02619	C3L-02624	C3L-02625	C3L-02627	C3L-02629	C3L-02646	C3L-02648	C3L-02649	C3L-02650	C3L-02660	C3L-02665	C3L-02669	C3L-02891	C3L-02951	C3L-02963	C3L-02964	C3L-02968	C3L-02969	C3L-03272	C3L-03678	C3L-03961	C3L-03962	C3L-03963	C3L-03965	C3L-04013	C3L-04014	C3L-04071	C3L-04391	C3N-00211	C3N-00221	C3N-00247	C3N-00309	C3N-00497	C3N-00555	C3N-00839	C3N-01017	C3N-01018	C3N-01020	C3N-01025	C3N-01028	C3N-01194	C3N-01411	C3N-01846	C3N-01892	C3N-01893	C3N-02252	C3N-02283	C3N-02284	C3N-02285	C3N-02288	C3N-02289	C3N-02300	C3N-02339	C3N-02374	C3N-02375	C3N-02425	C3N-02426	C3N-02434	C3N-02435	C3N-02494	C3N-02523	C3N-02575	C3N-02675	C3N-03051	C3N-03072	C3N-03076	C3N-03092	C3N-03093	C3N-03204	C3N-03424	C3N-03425	C3N-03441	C3N-03486	C3N-03662	C3N-03848	C3N-03851	C3N-03875	C3N-03877	C3N-03880	C3N-03882	C3N-03886	C3N-04124	C3N-04127	C3N-04155	C3N-04162	Samples-altered	Samples-amp	Samples-del	C3L-00081.N	C3L-00415.N	C3L-00445.N	C3L-00503.N	C3L-00568.N	C3L-00603.N	C3L-00904.N	C3L-00923.N	C3L-00927.N	C3L-00993.N	C3L-01000.N	C3L-01285.N	C3L-01455.N	C3L-01606.N	C3L-01663.N	C3L-01884.N	C3L-02127.N	C3L-02130.N	C3L-02163.N	C3L-02164.N	C3L-02168.N	C3L-02349.N	C3L-02358.N	C3L-02546.N	C3L-02552.N	C3L-02619.N	C3L-02624.N	C3L-02625.N	C3L-02627.N	C3L-02629.N	C3L-02646.N	C3L-02648.N	C3L-02649.N	C3L-02650.N	C3L-02660.N	C3L-02665.N	C3L-02669.N	C3L-02891.N	C3L-02951.N	C3L-02963.N	C3L-02964.N	C3L-02968.N	C3L-02969.N	C3L-03272.N	C3L-03961.N	C3L-03962.N	C3L-03963.N	C3L-03965.N	C3L-04013.N	C3L-04014.N	C3L-04071.N	C3L-04391.N	C3N-00221.N	C3N-00497.N	C3N-00555.N	C3N-01017.N	C3N-01018.N	C3N-01020.N	C3N-01025.N	C3N-01028.N	C3N-01194.N	C3N-01411.N	C3N-01846.N	C3N-01892.N	C3N-01893.N	C3N-02252.N	C3N-02285.N	C3N-02288.N	C3N-02289.N	C3N-02300.N	C3N-02339.N	C3N-02374.N	C3N-02375.N	C3N-02425.N	C3N-02426.N	C3N-02434.N	C3N-02435.N	C3N-02494.N	C3N-02523.N	C3N-02575.N	C3N-02675.N	C3N-03051.N	C3N-03072.N	C3N-03076.N	C3N-03092.N	C3N-03093.N	C3N-03204.N	C3N-03424.N	C3N-03425.N	C3N-03441.N	C3N-03486.N	C3N-03662.N	C3N-03848.N	C3N-03851.N	C3N-03875.N	C3N-03877.N	C3N-03880.N	C3N-03882.N	C3N-03886.N	C3N-04124.N	C3N-04127.N	C3N-04155.N	C3N-04162.N
NR0B1	16.7333	10.5324	10.9656		12.9847	11.5843		8.1756		8.0608				7.9936		17.7663		9.0181	15.7537	7.8869	12.5598	10.9023	10.2662		18.7314						10.05	9.6932	9.9295	15.3555	8.0185	18.3254	7.8467	16.0342	16.1851	9.5875	16.0361		9.402999999999999				8.0489		10.1323		8.344	9.2529	9.8321	19.9062	8.7955	16.033	7.8405	7.457999999999999			7.9705			17.7176		10.236	13.6209	11.2497		7.9751	9.8867	17.8805	8.889	18.3409	10.8949		9.7886		11.1766	7.7534		13.2061	19.6599	14.9783		18.3677		16.3467			7.8958		11.1603	9.9072			17.1191	8.9679		8.7008	12.8876	12.1405	8.231	9.5926	9.4062	19.2835	16.4508		12.2945	13.3755		16.2891	13.8775				8.1082	8.1739				9.05	9.0424								12.0475	8.4534	9.0397			8.2636		7.9743			9.0618	8.5206			9.1446	8.3378		8.054	11.8068		9.2923	9.0684	10.2008	8.8717					8.0272							12.7446						8.1694					7.882999999999999	8.0753		8.9179	8.1751	12.6902	7.8029	10.7407					7.9553													9.2299					8.4612		8.1783	7.792999999999999									8.1673
NR0B2		10.8777	10.4808			12.5146		11.4278		10.9911		15.5187	9.0593	10.5089	9.044	10.5367	11.1587	10.5334		11.8172		14.674000000000001		16.1516	13.1792	11.2936	13.7396	13.5987	11.8288			11.0386		12.0379	9.9489	11.640999999999998	13.4774	15.0011	11.5785		12.7816	10.4097	14.2875	10.7828	11.5065	11.7275	8.9793	11.4132	14.9934		14.7662	12.8462	8.7624	12.8455	11.1409	10.9634	8.7708		10.0272		12.7082	9.7212		11.3792		12.0143		11.332			9.817	11.8853	12.8193	12.5698	8.5033		12.7189	8.7633	13.6919	11.2686		12.0858	10.6674		11.9289			11.6771	8.6095		13.732999999999999	12.1121		8.8375	11.6847	10.0924		14.0275		13.4891		10.3704	12.6208		8.7516	9.1151		8.886000000000001	11.0025		12.2111	9.7316	9.0005				16.2284	15.7042	15.7678		14.8893	15.5039	12.6732	16.2259	15.8247	15.9206	15.7211	17.0458	16.5591	15.2727	15.2316	14.8431	15.6705	15.5535	16.8137	16.5603	15.8172	15.1526	14.4915	16.05	14.9464	15.9267		15.8876	14.3229	15.4179		15.9151	15.7372	15.5841	15.5624	15.9057	15.5741	15.8355	15.0743	14.8271	14.7769	15.0947	14.2055	14.9104	17.0917	15.6629	16.2393	15.0879	16.2964	16.3188	15.7662	15.8064	15.0118	16.273	15.1864	15.4572		15.4572	15.2009	16.2295	15.5137	16.0931	16.9302	16.743	15.5148	14.9272	15.7993	16.5431	16.7036		16.1843	14.915999999999999	15.1335	15.5728	16.0336	13.902000000000001	14.0427	15.7891	15.8324	15.4995	15.1693	15.982000000000001		16.0963	15.1137	14.4821	16.0394	15.5048	16.3313	15.2338	16.7665		15.4306	15.0452	14.6551	15.0036	13.4713	15.890999999999998		14.3626	15.2578		15.6212
NR1D1	17.0557	15.5407	16.6648		16.6977	14.4227	16.9686	13.3035	17.4419	14.8061	15.9212	13.9454	14.6177	16.8094	15.6649	15.548	16.917	16.9674	17.6645	15.8864	17.3723	15.1458	16.9637	16.8872	14.6807	16.4913	14.790999999999999	16.8204	17.7509		16.9923	15.3082	15.7779	16.6967	15.5009	14.8665	15.7536	15.2852	15.3859	15.8609	15.1636	16.3443	18.017	15.9914	15.7578	15.8678	18.3368	17.5072	15.5558	15.5567	15.2699	15.3309	15.0242	14.9142	15.1365	16.6645	15.7087	16.3433	15.2968		15.1389	15.8126		15.4537		14.8018	18.0141	15.3182	15.477	16.5354	17.295	16.8395	17.114	15.0751	13.8414	15.4546	16.8466	16.2664	16.0195	16.0106	16.3026	17.2527	15.4427	16.9804	15.8987	17.396	16.8485	16.4116	15.7097	16.4425	16.4098	15.4532	16.7675	13.8976	15.0418	14.9391	14.8306	16.4598	16.7399	14.5885	15.384	17.0245	15.359000000000002	13.2909	15.843	14.2456	14.9728	16.6822	15.7996	15.9426	15.2551	16.4327	15.1565				14.5182	14.3343	14.6225		16.7974	13.4734	15.569	13.193	14.1741	13.8545	14.1962	15.1401	16.1854	15.3186	13.6006	15.7366	16.8907	13.4437	16.4255	14.3072	14.7367	13.6652	17.340999999999998	14.9072	16.7332	14.9836		15.4505	14.9527	14.5609		14.8311	14.8677	13.7721	14.4526	15.0038	13.1913	14.015999999999998	15.1127	15.2202	13.619000000000002	16.1004	14.9812	15.216	14.8733	14.9157	14.2944	14.4936	14.978	15.9981	14.1508	15.1759	15.6643	15.4223	14.6526	14.9254		14.0102	16.2702	16.7975	14.9944	15.5447	14.5945	15.0942	15.472999999999999	13.1108	15.6662	12.8873	14.7188		14.0537	15.4652	13.4818	13.6723	15.3118	14.7248	16.0747	14.5139	13.9067	15.6566	15.0102	14.0077		12.6597	13.4005	14.1463	13.5336	15.9546	15.8733	14.3296	15.4335		14.3546	13.6513	14.2127	13.5719	13.297	14.7447		13.8745	15.7539		15.5363
NR1H3	16.2163	16.426	16.9866		17.2433	16.8054	15.6891	17.0519	16.4167	16.6141	15.9849	17.3274	16.0158	17.1138	16.8475	16.6809	16.1369	16.167	16.3007	16.0891	15.7143	17.4538	16.9531	16.6988	16.8818	16.0311	16.8988	16.5396	16.5042		17.7292	16.5328	17.2104	17.3199	16.1991	16.8666	16.8905	16.7145	17.4802	16.7802	17.1512	16.9101	16.6566	17.2517	17.9843	17.8481	17.0248	16.3984	17.6959	15.9722	17.4679	16.4327	16.2132	16.8407	17.4369	16.3887	15.8384	16.5616	17.6511		17.9602	16.6982		16.1575		18.1055	15.9516	17.6718	17.7381	15.7511	15.8372	17.0375	17.8166	17.4487	16.31	13.623	16.6302	17.18	16.4951	16.7361	15.7371	16.9635	17.0551	16.4418	16.9085	15.5645	15.6869	16.7986	16.4993	16.1429	17.9653	16.9775	16.0501	16.8276	18.2392	16.93	16.7134	17.4047	16.3873	16.6877	17.1856	16.075	16.9533	16.5516	16.3765	16.0234	17.4507	16.3155	16.675	17.3638	17.3035	16.3915	15.8557				16.8502	17.0368	18.1329		17.9512	16.7386	16.9542	17.1767	17.6501	18.2004	16.5865	16.6642	16.9025	17.2708	17.4146	17.1689	16.8473	16.5804	17.3054	17.6852	16.2645	16.9361	16.6513	16.9765	16.6263	18.0081		16.7564	16.5002	16.906		16.6712	16.3235	17.1889	16.5573	16.6785	17.2644	17.4528	16.9195	16.7337	19.0215	17.1742	17.0456	16.8052	16.8451	17.0937	16.354	16.6235	16.5632	17.2103	17.9499	16.8854	16.3822	17.9206	17.5594	16.2628		17.1621	17.3553	17.3339	17.7616	16.9336	16.9118	16.8853	16.8705	16.9654	17.3618	17.0834	17.9398		16.2663	16.7061	17.131	17.2477	17.5676	16.6577	16.5117	16.8077	16.648	16.8918	17.8045	17.5277		16.659000000000002	16.7451	16.7776	17.5487	17.3218	17.2165	16.35	17.991		16.8481	16.9892	16.2305	16.9418	17.0078	16.8174		16.9169	17.3721		17.0979
NR1I2	6.6537	9.4663	11.1366		8.5809	14.4456	9.8517	11.2091	8.0573	8.3573	10.9278	10.7009		10.6121	9.1472	12.6157	9.7879	9.3147	8.7284	12.0903	7.4641	10.029	10.3563	11.0827	11.2975	9.0749	9.6464	9.947000000000001	8.2882		9.7616	6.8198	10.963	10.8192	10.0521	12.1385	11.1432	8.1385	8.8743	10.5215	9.3702	9.776	9.922	8.5641	11.0247	10.1608	7.7605	10.1944	11.7019	9.9969	10.0556	9.7015	14.3892	10.7093	10.7295	8.3296	9.137	8.1696	9.8085		9.6821	10.6724		12.0865		11.5798	8.0846	9.3763	9.8073	8.6867	10.4057	9.0816	10.7705	10.8205	14.3013	8.2882	9.7226	11.6321	10.1777	9.6349	9.3278	9.0597	9.8637	7.7473	9.2248		11.5723	8.8734	10.3908	8.5948	10.4147	9.1564	10.6089	14.3467	10.2436	6.8737	9.5338	11.0015	10.0825	10.1129	9.7367	10.7366	9.2646	10.1787	9.1178	11.5402	6.8359	8.2522	12.2432	10.5427	9.6298	10.8348	8.3667				10.4048	10.345	10.6543		10.5897	10.9315	12.1464	11.413	10.7872	11.0794	9.6279	9.1832	10.8592	11.5827	10.866	10.9723	10.7513	10.2904	10.4052	10.5602	10.6098	10.9338	11.0712	10.2907	12.0954	10.5542		11.0342	10.6636	9.8567		9.573	11.284	9.3298	10.4633	7.78	10.4974	10.2838	10.9594	10.5132	10.399000000000001	10.8215	10.7388	10.0802	10.8384	10.2889	9.9951	9.3667	9.3772	10.3493	10.8313	11.1631	11.4711	10.6928	9.9677	11.5248		10.5639	10.515	11.4648	10.4019	10.9568	10.3896	11.0889	11.6416	11.6133	10.7624	10.8149	10.3869		10.6887	10.6717	10.6669	10.7335	10.9897	10.2847	10.5702	11.0634	10.2679	9.5645	10.0199	9.4831		10.2434	10.1508	10.2634	10.3288	10.3252	9.2629	10.185	11.3427		10.9774	9.3119	10.9338	11.5691	10.3681	11.0873		11.7746	9.8853		10.6863
NR2C2	17.2631	17.1337	17.3112		17.5527	17.7551	17.1954	17.4673	16.6532	17.484	17.4359	17.4882	17.8956	17.4612	17.752	17.4321	17.2148	17.7646	17.7274	17.0639	17.4528	17.5962	17.4296	17.3687	17.3441	17.9844	17.4345	17.6375	17.452		17.5617	17.1788	17.5954	17.3415	17.0283	17.2121	17.2624	17.4889	17.3126	17.299	17.4323	17.2581	17.1641	17.5037	17.0051	17.6823	17.4541	17.6316	17.7197	16.9595	17.5939	17.1492	18.3628	17.1857	17.3653	17.3595	17.0895	17.4758	17.6769		17.794	17.1257		17.4084		17.3505	17.4724	17.383	17.7072	17.2762	17.2626	17.3549	17.2288	17.3358	17.778	16.8618	17.3004	17.4454	17.3756	17.5405	17.595	17.1716	16.9032	17.227999999999998	17.4408	17.5511	17.7051	17.4038	17.2708	17.1873	17.6	17.3456	17.2943	17.5945	17.5431	17.7596	16.9433	17.1403	16.9521	17.4457	16.8214	17.7253	17.6425	18.0976	17.4575	17.2189	17.5143	17.9155	18.5923	17.7827	17.2522	17.7738	17.554000000000002				17.5947	17.6201	17.4239		17.5429	17.9993	17.7722	17.5647	17.485	17.605999999999998	17.7848	17.3663	17.7147	17.6932	17.4812	17.7134	17.6473	17.5858	17.5272	17.4837	17.6447	17.6446	17.8129	17.7331	17.7102	17.6384		17.8802	17.8264	17.8231		17.7894	17.7419	17.4261	17.6938	17.305999999999997	17.569000000000003	17.6953	17.5462	17.5881	17.6132	17.7489	17.8549	17.8059	17.7729	17.6952	17.6939	17.8015	17.5805	17.7232	17.5928	17.8228	17.8266	17.6777	17.6186	17.2399		17.4018	17.7405	17.6055	17.4676	17.3274	17.4619	17.5957	17.7303	17.6966	17.6344	17.467	17.4201		17.6185	17.6936	17.7455	17.6452	17.7659	17.6423	17.904	17.6698	17.7302	17.6733	17.6605	17.6993		17.6948	17.5444	17.77	17.567999999999998	17.3895	17.4755	17.5853	17.5197		17.903	17.574	17.8968	17.699	17.7459	17.8712		17.7214	17.7375		17.6341
NR2F2	14.8039	14.3671	15.054		16.1713	14.8398	17.5522	15.5455	16.7078	14.884	15.1533	15.0189	15.6909	16.892	16.011	16.5016	15.6832	17.4169	15.3957	15.8448	15.0144	15.3392	15.4746	16.0712	16.4603	16.9844	15.889000000000001	16.421	15.3101		15.0642	16.2758	16.289	15.2992	16.0777	15.1131	15.2167	16.1719	15.6333	15.4924	15.8578	15.7814	15.4732	15.9802	15.3877	15.6278	15.8591	15.4293	15.572000000000001	14.1597	15.4891	15.7815	14.869000000000002	15.0833	16.6194	16.3173	16.3654	15.402000000000001	16.0126		16.1466	13.5058		14.6784		15.8799	14.8765	16.15	15.4019	14.6947	16.36	15.9509	15.8528	16.0328	17.4635	15.6022	16.4348	14.8164	16.086	15.9226	16.262	15.4758	14.693	13.7223	15.9085	13.9604	16.1742	15.0978	15.7198	15.1344	15.8318	15.1346	15.8373	16.2364	15.1366	15.724	15.6235	16.2553	15.4219	15.2365	14.8593	15.5747	16.0992	18.6701	14.8656	15.5186	14.9945	14.3638	15.9577	15.0342	15.3338	15.2438	14.6372				15.9487	15.585	15.3681		16.5887	16.6326	17.1613	16.4631	15.7288	16.4644	15.6229	15.5992	16.169	16.6879	16.3517	16.9459	16.757	16.0822	16.1219	16.0955	16.1634	16.7044	17.0801	16.932000000000002	16.4139	16.1362		16.9279	16.2149	16.5002		17.0179	16.7548	15.1495	16.3807	15.3746	16.2563	16.406	16.1389	15.8456	15.6274	16.8772	17.457	16.5111	16.4425	16.5261	15.190999999999999	16.2445	15.7838	16.5503	17.079	16.5632	17.1806	16.5586	15.6929	15.1332		15.9859	16.9182	16.6958	16.0106	16.1252	16.3808	16.6468	17.2054	16.6503	17.0324	15.776	16.6684		15.6585	16.7507	16.8255	16.3685	16.495	16.0697	16.5922	16.361	16.1007	16.5327	16.8212	16.2436		15.9724	16.3533	16.5999	16.21	16.1355	16.4953	15.6765	15.9065		17.0295	16.9614	17.3647	16.8272	16.7329	16.6441		16.1883	16.3741		16.1701
NR3C1	18.1517	17.8329	18.0607		18.3057	17.926	17.8876	18.4058	17.2964	18.4421	18.2401	18.2139	18.1755	18.1322	18.021	17.9724	18.1389	17.8098	17.9382	18.1426	18.015	18.5958	18.401	18.4213	17.7586	17.7368	18.2855	18.6056	17.9833		18.3722	17.855	18.5874	18.3903	17.8963	17.0923	17.9278	18.3712	18.5636	18.2704	18.0935	18.037	18.2932	17.6371	18.3888	18.2682	17.8962	17.4546	18.8255	18.6382	18.3196	17.9335	17.0229	17.7121	18.1485	18.6062	18.4469	17.9658	18.5409		18.1562	17.9083		18.3004		18.0654	18.6007	17.9035	18.1313	17.6073	17.72	18.2131	18.4037	18.0754	17.015	17.7172	17.8376	18.7336	18.2581	18.0357	18.3979	17.7436	17.4683	17.4858	18.785	18.1085	17.5399	18.6362	18.0903	18.1631	18.5047	18.0987	18.5382	17.7043	18.4356	18.2808	17.4244	18.4476	18.0181	18.6252	17.4798	18.2403	18.6082	17.3422	18.3322	18.0581	18.2051	17.8353	16.5548	18.5807	18.2123	18.1999	17.8808				18.9528	18.843	18.5445		18.909000000000002	19.1743	18.7983	18.9619	18.4697	19.0209	18.7263	18.8235	18.8669	19.0424	18.8422	18.974	18.8911	18.7739	18.947	18.6065	18.9467	18.8473	19.098	19.1128	18.4959	18.5195		19.2706	19.0895	19.218		19.2207	19.3147	18.8676	19.0833	19.1469	19.1346	18.8296	18.9841	18.7934	19.0058	19.1836	19.4285	19.1991	19.2091	19.1091	18.9149	18.9677	19.241	19.1512	18.9757	19.2023	18.8429	18.6877	18.4551	18.7265		18.8962	19.0053	18.8996	18.9606	18.8587	18.9623	18.9336	18.9836	19.0706	18.8895	19.1192	18.7949		18.8036	18.7754	19.035	18.8973	19.0487	18.7357	18.9475	19.1199	19.3188	18.8574	18.8971	19.024		19.2251	19.2515	19.0682	19.1473	18.7277	19.2973	19.0934	18.886		19.1265	19.076	19.0858	18.8528	18.9274	19.2624		19.1322	18.961		18.9044
NR4A1	14.5545	14.2256	18.0781		16.9694	17.5561	18.3828	16.3655	16.1587	18.8374	16.4076	18.8848	16.0089	18.3984	15.9177	16.4077	16.9086	15.5598	17.4425	19.5112	17.1032	20.5235	17.4647	20.3446	16.7309	16.8685	18.024	16.9393	18.7802		16.3056	17.069000000000003	17.5485	17.6833	16.3545	17.643	17.4355	20.4954	17.8332	16.8806	17.0996	17.2885	20.0904	16.0057	16.8078	17.6691	17.6719	17.5978	20.2183	17.564	18.4351	18.4562	16.6204	17.1603	17.6474	17.8144	16.3786	18.009	15.2212		16.0665	17.3966		16.6663		16.8582	16.1159	16.4022	15.7042	16.3653	17.1893	17.3756	17.253	15.8427	16.422	17.526	18.0351	17.7184	19.4899	18.4673	19.0154	15.9449	15.5565	14.9558	15.1573	19.2313	15.6661	16.8062	16.9247	15.3456	17.2795	17.0059	15.7028	15.6185	17.1679	15.7177	14.6261	16.9633	17.4495	18.316	18.6656	17.4633	16.5751	15.9685	14.2837	15.6765	14.3098	14.8971	16.6316	14.6062	15.3607	16.1141	17.3768				19.8554	19.2772	19.4611		19.8573	20.9166	20.6621	20.2756	19.2433	20.7695	20.2648	20.6997	20.5439	19.0799	18.58	20.0592	22.0901	20.7844	20.7217	21.6595	21.3887	18.4231	18.6836	20.9417	19.9173	20.5343		19.3786	19.6882	19.8553		21.2716	20.5282	19.3512	19.952	20.5687	21.538	20.0056	20.137	20.0579	19.8135	17.8356	19.44	20.0265	21.215999999999998	21.3394	20.5817	19.6888	21.273000000000003	20.6255	20.518	20.4469	19.7174	19.5773	17.6695	19.1872		20.0765	18.5739	19.6201	20.8066	20.3956	21.3531	21.241	19.7759	19.5268	20.9637	20.2785	20.0871		21.0972	19.1846	16.3788	20.0175	18.7033	19.1084	20.2025	19.5939	20.1119	19.4291	18.4821	19.4676		20.363	20.1123	19.2388	17.2524	20.0209	19.9912	20.0451	19.9955		19.3974	17.3158	19.4873	16.3408	20.266	19.1353		18.2415	18.4536		18.9575
NR5A2	12.9963	13.5085	13.2312		13.2605	13.8205	14.1859	14.4575	13.3396	13.5767	12.5479	13.7005	12.7932	14.0604	14.1552	13.7265	14.3224	12.9259	12.485999999999999	13.3466	11.9738	14.583	12.7949	15.0792	12.7921	13.2514	13.6796	14.3636	13.7286		12.5932	14.7132	14.1223	14.0053	14.4877	13.4466	14.3717	15.065999999999999	14.5499	12.8088	14.7868	13.5915	14.6243	13.5974	13.6882	13.6204	12.3995	12.9058	15.5848	12.8429	14.5539	14.1885	12.4457	13.7564	14.514000000000001	13.5397	13.9197	13.6159	14.5276		13.9265	13.2313		13.5381		13.9745	13.4688	14.0358	13.469000000000001	13.0419	12.9535	13.3901	14.3723	13.0671	15.5624	12.6558	13.6048	13.9491	14.7554	14.1645	12.4463	13.1841	12.9125	13.8864	14.2069	13.7895	13.0136	13.1775	12.8777	12.6693	14.8819	13.5158	12.2229	13.5293	14.1962	13.9225	13.4864	14.6609	13.4098	14.5294	12.0907	13.7488	15.1802	16.1253	13.075999999999999	13.8573	13.4541	13.0224	12.7745	13.0822	14.232999999999999	12.3624	12.0463				14.6694	15.2748	13.6558		15.3676	14.3427	15.2324	15.0424	14.4712	14.829	13.3252	14.8221	14.8679	15.6301	15.1496	16.293	14.8757	14.8372	14.6394	15.4593	15.8406	15.1469	14.6469	14.9593	15.4072	15.3418		15.4633	14.628	15.2972		15.96	14.9962	15.0174	16.1483	13.655999999999999	15.2327	17.0029	14.799000000000001	14.8349	15.1767	14.2818	14.6914	14.5899	16.7845	15.9685	15.0148	16.8895	15.0127	15.3825	16.1936	15.4277	13.6113	15.7138	12.9036	14.172		14.9581	15.2793	14.7694	15.8081	15.2623	15.9561	14.7685	16.1513	15.4449	16.2626	14.0494	15.7436		15.0254	15.4374	15.8507	15.7108	14.0037	14.9932	15.5139	14.3912	15.1322	16.1586	16.9068	17.1505		15.1077	16.1539	16.4721	15.7453	15.6678	15.9053	15.7962	14.4306		16.1859	15.5592	15.8567	15.4888	17.4993	15.5545		14.4341	15.7613		14.5735
NRAS	18.729	18.5568	18.1152		18.7691	19.4772	18.3717	18.9272	19.3658	18.5966	17.7078	18.2748	18.8573	18.5998	19.1074	18.8889	18.9371	19.0909	17.869	18.4871	18.0861	17.9418	18.5288	18.5763	17.1668	18.6816	18.6046	18.104	18.2811		18.1582	19.0209	18.5009	18.3334	18.9613	18.7758	19.0345	18.5188	18.7911	18.1185	18.9552	18.0844	17.9135	18.5749	18.052	18.6636	18.908	17.8447	18.2177	18.6328	18.7319	19.046	18.5929	18.4954	18.6019	18.7546	18.7908	17.875999999999998	18.6948		19.1367	18.0448		17.9435		18.2067	17.7846	18.5339	18.3464	18.521	18.8432	17.6545	17.8544	17.708	19.9352	17.8867	18.8686	17.7475	18.2459	18.6943	17.852	18.4492	18.0569	18.4574	18.0826	18.0921	18.6406	18.4866	19.1444	18.6174	18.1421	19.0523	18.447	18.6198	18.5592	18.9714	18.8284	18.3823	18.6413	18.9559	17.7781	18.4055	18.4453	19.0021	18.8921	18.9599	18.5366	18.6915	18.0297	18.2066	19.0302	17.1721	18.1751				17.9128	18.5794	18.0168		17.9351	17.8393	17.5666	17.9147	18.258	18.0981	18.0102	18.22	18.224	17.7921	17.7403	17.5827	17.7052	18.0825	17.6852	17.898	18.419	17.4115	17.9492	17.6468	17.4551	17.5888		18.2689	18.3401	18.2975		18.4605	18.5643	18.6491	18.6281	18.8658	18.2576	18.7537	18.2493	17.7701	18.0374	17.8322	18.1139	18.3204	18.5409	18.0747	18.3943	18.6179	18.4824	18.1357	17.7872	18.357	17.949	18.1426	17.6236	18.2194		18.0575	17.8421	17.7651	18.1532	18.0788	18.1339	18.1212	17.8246	18.0132	17.9462	17.8604	17.8985		18.4263	17.8182	17.7598	17.7365	17.6452	18.0141	18.0084	18.4039	18.2742	18.1329	18.1669	18.5927		18.2997	18.5153	18.4608	18.3024	18.3104	18.281	18.7152	18.3533		18.0719	18.2703	17.9452	17.8716	18.5223	18.1552		18.1115	18.1541		17.9854
NRF1	16.9029	16.9702	17.1873		17.1326	17.1014	17.0932	17.3607	17.4852	17.3811	17.1522	17.1656	17.8724	17.1588	17.3986	17.0324	16.8375	16.623	17.4247	16.9862	17.2367	17.2342	17.2512	16.7101	17.0704	17.1294	17.2263	17.076	17.0618		17.3521	17.0042	17.2796	16.9537	16.7191	17.0012	16.8784	17.2328	16.8959	17.2751	17.0614	17.0941	17.0868	17.0137	17.2309	17.2103	17.1788	17.1867	17.2218	17.47	17.2221	17.1925	17.8609	17.1838	16.8915	16.7447	17.0097	17.574	17.0592		17.5504	17.0023		17.1733		17.5647	17.5564	17.0621	17.3992	17.552	16.9533	16.9663	17.1313	17.2926	17.2688	18.1625	16.7744	17.6483	16.9409	17.176	17.3978	16.8312	17.3994	17.5221	17.0091	17.5453	17.0743	17.327	17.3742	17.2621	17.102	16.6981	17.2173	17.0724	17.2019	17.1042	16.6486	16.6138	17.0851	17.2645	16.9634	17.2613	17.1653	17.2777	17.0183	17.366	17.156	17.3257	17.4262	16.9633	16.8353	17.2692	17.5841				17.0394	16.7589	16.9759		17.0524	17.1051	17.4356	17.1715	17.1235	17.1234	17.1372	16.9373	17.0629	17.2414	17.0402	17.1778	17.2009	17.0776	17.0554	17.1069	16.8987	17.1462	17.3651	17.0897	17.1625	16.9218		16.9899	17.1239	16.8507		16.9073	16.9528	16.8134	17.0203	16.6929	16.9911	16.7758	16.8957	17.4217	16.9749	17.1787	16.9662	17.0149	16.8911	16.9943	16.8704	17.0691	17.0353	17.074	17.0781	16.9079	17.1862	16.9871	16.9324	17.0276		16.9456	17.0386	17.1673	17.0183	17.2038	17.2207	17.1741	17.236	17.1703	16.9973	16.9577	16.783		16.9809	17.1977	17.186	16.96	17.3132	17.1484	17.2075	16.9454	17.0351	17.0172	16.9328	16.8406		16.8716	16.9572	17.0948	16.8721	16.787	16.791	16.9627	16.9421		17.1468	16.8203	17.1628	17.0766	16.9383	17.1493		16.9085	16.9241		16.9886
